read_code,icd9_code,icd9_code_def
A9041,0904D 3234A,7
A9042,0904D 3207A,7
A904z,0904,1
A905.,0905,1
A9050,0905,1
A9051,0905,1
A9052,0905,1
A9053,0905,1
A905z,0905,1
A906.,0906,1
A907.,0907,1
A90z.,0909,1
A91..,091,1
A910.,0910,1
A911.,0911,1
A912.,0912,1
A9120,0912,1
A9121,0912,1
A9122,0912,1
A9123,0912,1
A912z,0912,1
A913.,0913,1
A9130,0913,1
A9131,0913,1
A9132,0913,1
A9133,0913,1
A9134,0913,1
A9135,0913,1
A913z,0913,1
A914.,0914,1
A915.,0915D,8
A9150,0915D,8
A9151,0915D 3631A,7
A9152,0915D 3641A,7
A915z,0915D,8
A916.,0916,1
A9160,0916D 7303A,7
A9161,0916D 5732A,7
A916z,0916,1
A917.,0917,1
A918.,0918,1
A9180,0918D 3207A,7
A9181,0918,1
A918z,0918,1
A919.,0919,1
A91X.,0910,1
A92..,092,1
A920.,0920,1
A92z.,0929,1
A93..,093,1
A930.,0930D 4417A,7
A931.,0931D 4477A,7
A932.,0932D 424A,7
A9320,0932D 4249A,7
A9321,0932D 4240A,7
A9322,0932D 4241A,7
A9323,0932D 4242A,7
A9324,0932D 4243A,7
A932z,0932D 4249A,7
A93y.,0938,1
A93y0,0938D 4200A,7
A93y1,0938D 4220A,7
A93yz,0938,1
A93z.,0939,1
A94..,094,1
A940.,0940,1
A941.,0941,1
A942.,0942D 3207A,7
A943.,0943,1
A94y.,0948,1
A94y0,0948D 3234A,7
A94y1,0948D 3321A,7
A94y2,0948D 3631A,7
A94y3,0948D 3771A,7
A94y4,0948D 3773A,7
A94y5,0948D 3885A,7
A94y6,0948D 430A,7
A94yz,0948,1
A94z.,0949,1
A95..,095,1
A950.,095D 3790A,7
A951.,095D 5178A,7
A952.,095D 5670A,7
A953.,095D 5732A,7
A954.,095D 5838A,7
A955.,095D 7308A,7
A956.,095D 7280A,7
A957.,095D,8
A9570,095D 7270A,7
A9571,095D 727A,7
A9572,095D 727A,7
A957z,095D,8
A95y.,095D,8
A95z.,095D,8
A96..,096,1
A97..,097,1
A970.,0970,1
A971.,0971,1
A97z.,0979,1
A98..,098,1
A980.,0980,1
A9800,0980,1
A9801,0980,1
A9802,0980,1
A980z,0980,1
A981.,0981,1
A9810,0981,1
A9811,0981D 5954A,7
A9812,0981D 6014A,7
A9813,0981D 6049A,7
A9814,0981D 6080A,7
A9815,0981D 6160A,7
A9816,0981D 615A,7
A9817,0981D 6140A,7
A981z,0981,1
A982.,0982,1
A9820,0982,1
A9821,0982,1
A9822,0982,1
A982z,0982,1
A983.,0983,1
A9830,0983,1
A9831,0983D 5954A,7
A9832,0983D 6014A,7
A9833,0983D 6049A,7
A9834,0983,1
A9835,0983,1
A9836,0983D 6151A,7
A9837,0983D 6141A,7
A983z,0983,1
A984.,0984D,8
A9840,0984D 3720A,7
A9841,0984D 3640A,7
A9842,0984D 3600A,7
A9843,0984D 3704A,7
A984z,0984D,8
A985.,0985D,8
A9850,0985D 7114A,7
A9851,0985D 7270A,7
A9852,0985D 7273A,7
A9853,0985D 7208A,7
A985z,0985D,8
A986.,0986,1
A987.,0987,1
A9870,0987,1
A9871,0987,1
A987z,0987,1
A98y.,0988,1
A98y0,0988D 7011A,7
A98y1,0988D 3207A,7
A98y2,0988D 4200A,7
A98y3,0988D 4211A,7
A98y4,0988,1
A98y5,0988D 5670A,7
A98y6,0988,1
A98yy,0988,1
A98yz,0988,1
A98z.,0988,1
A99..,099,1
A990.,0990,1
A991.,0991,1
A992.,0992,1
A993.,0993,1
A994.,0994,1
A99y.,0998,1
A99z.,0999,1
A9y..,090-099,2
A9z..,090-099,2
AA...,100-104,2
AA0..,100,1
AA00.,1000,1
AA0y.,1008,1
AA0y0,1008D 3218A,7
AA0y1,1008,1
AA0yz,1008,1
AA0z.,1009,1
AA1..,101,1
AA10.,101,1
AA11.,101,1
AA12.,101,1
AA1z.,101,1
AA2..,102,1
AA20.,1020,1
AA21.,1021,1
AA22.,1022,1
AA23.,1023,1
AA24.,1024,1
AA25.,1025,1
AA26.,1026,1
AA2x.,1027,1
AA2x0,1027,1
AA2x1,1027,1
AA2xz,1027,1
AA2y.,1028,1
AA2z.,1029,1
AA3..,103,1
AA30.,1030,1
AA31.,1031,1
AA32.,1032,1
AA33.,1033,1
AA3z.,1039,1
AA4..,104,1
AA40.,1040,1
AA4y.,1048,1
AA4z.,1049,1
AAy..,100-104,2
AAz..,100-104,2
AB...,110-118,2
AB0..,110,1
AB00.,1100,1
AB000,1100,1
AB001,1100,1
AB00z,1100,1
AB01.,1101,1
AB02.,1102,1
AB03.,1103,1
AB030,1103,1
AB031,1103,1
AB03z,1103,1
AB04.,1104,1
AB05.,1105,1
AB06.,1106,1
AB0y.,1108,1
AB0y0,1105,1
AB0z.,1109,1
AB1..,111,1
AB10.,1110,1
AB11.,1111,1
AB12.,1112,1
AB13.,1113,1
AB1X.,1119,1
AB1y.,1118,1
AB1z.,1119,1
AB2..,112,1
AB20.,1120,1
AB200,1120,1
AB201,1120,1
AB20z,1120,1
AB21.,1121D 6161A,7
AB210,1121D 6161A,7
AB211,1121D 6161A,7
AB21z,1121D 6161A,7
AB22.,1122,1
AB220,1122,1
AB221,1122,1
AB22z,1122,1
AB23.,1123,1
AB230,1123,1
AB231,1123,1
AB232,1123,1
AB233,1123,1
AB23z,1123,1
AB24.,1124D 4847A,7
AB25.,1125,1
AB2y.,1128,1
AB2y0,1128D 4211A,7
AB2y1,1128D 3801A,7
AB2y2,1128D 3210A,7
AB2y3,0388A 1128D,4
AB2yz,1128,1
AB2z.,1129,1
AB3..,114,1
AB30.,114,1
AB300,114D 4847A,7
AB301,114,1
AB31.,114,1
AB32.,114,1
AB33.,114,1
AB330,114,1
AB331,114,1
AB332,114,1
AB33z,114,1
AB3z.,114,1
AB4..,115,1
AB40.,1150,1
AB400,1150,1
AB401,1150,1
AB402,1150,1
AB403,1150,1
AB404,1150,1
AB405,1150,1
AB406,1150,1
AB407,1150,1
AB408,1150,1
AB40z,1150,1
AB41.,1151,1
AB410,1151,1
AB411,1151,1
AB412,1151,1
AB413,1151,1
AB414,1151,1
AB415,1151,1
AB41z,1151,1
AB42.,1159D 4847A,7
AB4z.,1159,1
AB4z0,1159,1
AB4z1,1159,1
AB4z2,1159,1
AB4z3,1159,1
AB4z4,1159,1
AB4z5,1159,1
AB4z6,1159,1
AB4zz,1159,1
AB5..,116,1
AB50.,1160,1
AB500,1160,1
AB501,1160,1
AB502,1160,1
AB503,1160,1
AB504,1160,1
AB505,1160,1
AB50z,1160,1
AB51.,1161,1
AB510,1161,1
AB511,1161,1
AB512,1161,1
AB513,1161,1
AB51z,1161,1
