read_code,icd10_code,mapping_status,refine_flag,add_code_flag,element_num,block_num
1632.,R633,D,C,C,0,0
1632.,F982,R,C,C,0,0
1632.,P92,R,M,C,0,0
1633.,R633,D,C,C,0,0
1633.,F50,R,M,C,0,0
1634.,R633,G,C,C,0,0
1652.,R208,G,C,C,0,0
1655.,R688,G,C,C,0,0
166..,R619,D,C,C,0,0
166..,R61,A,M,C,0,0
166Z.,R619,D,C,C,0,0
166Z.,R61,A,M,C,0,0
1682.,R53X,D,C,C,0,0
1682.,F430,R,C,C,0,0
1682.,F480,R,C,C,0,0
1682.,G933,R,C,C,0,0
1682.,O268,R,C,C,0,0
1686.,R298,G,C,C,0,0
16A..,M436,G,P,C,0,0
16A2.,M436,D,C,C,0,0
16A2.,M538,R,P,C,0,0
16AZ.,M436,D,P,C,0,0
16AZ.,F444,R,C,C,0,0
16AZ.,F458,R,C,C,0,0
16AZ.,G243,R,C,C,0,0
16AZ.,M068,R,P,C,0,0
16AZ.,P152,R,C,C,0,0
16AZ.,Q680,R,C,C,0,0
16AZ.,S134,R,C,P,0,0
16B..,R233,D,C,C,0,0
16B..,D69,R,M,C,0,0
16B..,P545,R,C,C,0,0
16B3.,R233,D,C,C,0,0
16B3.,D69,R,M,C,0,0
16B3.,P545,R,C,C,0,0
16BZ.,R233,D,C,C,0,0
16BZ.,D69,R,M,C,0,0
16BZ.,P545,R,C,C,0,0
16C..,M549,D,P,C,0,0
16C..,M545,A,P,C,0,0
16C..,M548,A,P,C,0,0
16C..,F454,R,C,C,0,0
16C2.,M549,D,C,P,0,0
16C2.,M54,A,M,P,0,0
16C2.,F454,R,C,C,0,0
16C2.,M533,R,C,P,0,0
16C3.,M548,G,P,C,0,0
16C6.,M549,D,C,P,0,0
16C6.,M54,A,M,P,0,0
16C6.,F454,R,C,C,0,0
16C6.,M533,R,C,P,0,0
16C7.,M548,G,C,C,0,0
16CZ.,M549,D,C,P,0,0
16CZ.,M54,A,M,P,0,0
16CZ.,F454,R,C,C,0,0
16CZ.,M533,R,C,P,0,0
16D..,R296,G,C,C,0,0
16H..,R688,G,C,C,0,0
17...,R098,G,C,C,0,0
1712.,R05X,G,C,C,0,0
1713.,R05X,G,C,C,0,0
1714.,R093,G,C,C,0,0
1715.,R093,G,C,C,0,0
1717.,R05X,G,C,C,0,0
1719.,R05X,G,C,C,0,0
171A.,R05X,G,C,C,0,0
171C.,R05X,D,C,C,0,0
171C.,J410,R,C,C,0,0
171C.,R042,R,C,C,0,0
171D.,R05X,D,C,C,0,0
171D.,J410,R,C,C,0,0
171D.,R042,R,C,C,0,0
171Z.,R05X,D,C,C,0,0
171Z.,J410,R,C,C,0,0
171Z.,R042,R,C,C,0,0
1732.,R060,G,C,C,0,0
1733.,R060,G,C,C,0,0
1734.,R060,G,C,C,0,0
1736.,R060,G,C,C,0,0
1738.,R068,G,C,C,0,0
173A.,J459,G,C,C,0,0
173B.,R05X,D,C,C,0,0
173B.,R062,D,C,C,1,0
173Z.,R068,G,C,C,0,0
1742.,R066,E,C,C,0,0
174Z.,R066,E,C,C,0,0
1752.,R196,G,C,C,0,0
176..,J00X,G,C,C,0,0
1761.,J40X,G,C,C,0,0
1813.,R002,D,C,C,0,0
1813.,F453,R,C,C,0,0
1814.,R002,G,C,C,0,0
181Z.,R002,D,C,C,0,0
181Z.,F453,R,C,C,0,0
182..,R074,D,C,C,0,0
182..,R071,A,C,C,0,0
182..,R072,A,C,C,0,0
182..,R073,A,C,C,0,0
182..,I209,R,C,C,0,0
1822.,R072,D,C,C,0,0
1822.,I20,R,M,C,0,0
1823.,R072,D,C,C,0,0
1823.,F454,R,C,C,0,0
1824.,R073,G,C,C,0,0
1825.,R073,G,C,C,0,0
1826.,R073,G,C,C,0,0
1828.,R074,D,C,C,0,0
1828.,R07,A,M,C,0,0
1828.,I20,R,M,C,0,0
1829.,R073,D,C,C,0,0
1829.,I20,R,M,C,0,0
182A.,R074,D,C,C,0,0
182A.,R07,A,M,C,0,0
